nickname,review,star,product_name,price,discount_pct,review_count,view_count,sales_count
슛돌이8282,"기본템 중의 기본템.
174cm 허벅돼인데 라지랑 고민하다가 미디움으로 했는데 만족합니다. 다리가 긴편이 아니라 라지로 하면 길이가 항상 애매했는데 딱 좋습니다. 스테디로 몇개더 구매할듯 합니다.",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
yoohy2,핏이 마음에 들어요. 가격도 적당하고 다른색상도 살 예정입니다,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
토묘2,"핏, 기장 적당해서 편하게 입기 정말 좋은 바지입니다.
마감도 좋아요!",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
토묘2,"핏, 기장 적당해서 진짜 편하게 입기 좋아요! 마감도 만족스럽습니다.",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
다양한자색아웃핏,편하게 입을수 있어서 좋은것 같아요 재질도 좋아서 재구매했어요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
환한서초니트,심플산 디자인에 합리적인 가격이 좋았습니다. 몇 벌 더 사서 일상복으로 입고 다녀도 좋을 것 같아요.,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
Houya,따듯하고 편한데 저렴해서 휘뚜루마뚜루 입기 좋아요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
모범적인발리잠옷,기본색상에 기본디자인이라 손이 자주가네요. 품이 많이크지않아 상의 아무거나입어도 잘어울립니다,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
오빠불꺼,무탠다드 저렴이제품 싼가격 가성비로 입을만해요 ㅎㅎ,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
Designhouse,스웨트팬츠는 크게입는걸 좋아하지 않아서 사이즈를 한치수 작게해서 교환했습니다 허벅지랑 종아리는 두꺼운편이지만 몸무게에비해 허리가 얇은편이라서 지금은 라지가 딱 맞네요 건조기는 안돌려서 세탁을해도 많이 줄어들지는 않겠지만 계속 지금처럼 잘 맞았으면 좋겠어요 기모는 없는 제품이지만 원단자체가 두툼해서 겨울에도 힛탠다드를 입고 입으면 걱정없을꺼 같습니다. 무탠다드 너무 조아요!!,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
